product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDV_20181207T234054_20181207T234122_024926_02BEF8_8342,2,0,2,2018-12,S1A_IW_GRDH_1SDV_20181207T234054_20181207T234122_024926_02BEF8_8342.SAFE
S1A_IW_GRDH_1SDV_20190102T001621_20190102T001650_025291_02CC33_A6F0,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T001621_20190102T001650_025291_02CC33_A6F0.SAFE
S1A_IW_GRDH_1SDV_20190102T001855_20190102T001920_025291_02CC33_DF32,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T001855_20190102T001920_025291_02CC33_DF32.SAFE
S1A_IW_GRDH_1SDV_20190102T001920_20190102T001945_025291_02CC33_2F73,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T001920_20190102T001945_025291_02CC33_2F73.SAFE
S1A_IW_GRDH_1SDV_20190102T002100_20190102T002125_025291_02CC33_5E02,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T002100_20190102T002125_025291_02CC33_5E02.SAFE
S1A_IW_GRDH_1SDV_20190102T002429_20190102T002458_025291_02CC34_16F8,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T002429_20190102T002458_025291_02CC34_16F8.SAFE
S1A_IW_GRDH_1SDV_20190102T013138_20190102T013203_025292_02CC3A_FAA8,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T013138_20190102T013203_025292_02CC3A_FAA8.SAFE
S1A_IW_GRDH_1SDV_20190102T013408_20190102T013433_025292_02CC3A_A8DC,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T013408_20190102T013433_025292_02CC3A_A8DC.SAFE
S1A_IW_GRDH_1SDV_20190102T013433_20190102T013458_025292_02CC3A_2D9C,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T013433_20190102T013458_025292_02CC3A_2D9C.SAFE
S1A_IW_GRDH_1SDV_20190102T013458_20190102T013523_025292_02CC3A_82EC,2,0,2,2019-01,S1A_IW_GRDH_1SDV_20190102T013458_20190102T013523_025292_02CC3A_82EC.SAFE
