city_id,city_name,country,continent,W0_baseline,W1_equal,W2_gap_heavy,W3_continuity_heavy,W4_coverage_only,W5_dualpol_heavy,W6_no_1b_shock
South_Asia_r02_c02_+25550+7072,Sindhnur,India,South_Asia,0.6901548672566372,0.6867010816125859,0.7008112094395281,0.7137168141592921,0.7066002949852507,0.7380530973451327,0.672769174041298
South_Asia_r02_c02_+25555+6540,Digras,India,South_Asia,0.7443496983442285,0.7087959462998374,0.7739219697306592,0.7647774269577979,0.7929941002949852,0.7739219697306592,0.7373525073746313
South_Asia_r02_c02_+25555+6646,Bhokar,India,South_Asia,0.7445557644397574,0.712432685792308,0.7743492747642411,0.7647622541152737,0.7914454277286136,0.7743492747642411,0.7361356932153392
South_Asia_r02_c02_+25559+7133,Kurikuppi,India,South_Asia,0.7950811209439528,0.7525319567354964,0.8205604719764011,0.7983628318584073,0.8216445427728614,0.8205604719764011,0.8023414454277287
South_Asia_r02_c02_+25561+6504,Yavatmal,India,South_Asia,0.7444095054130543,0.7099785873650479,0.7740555231121693,0.7647634877139393,0.7924778761061946,0.7740555231121693,0.7369469026548673
South_Asia_r02_c02_+25561+6899,Chitapur,India,South_Asia,0.7444781030179262,0.7111905302170789,0.7741978670297255,0.7647583390061268,0.7919616519174041,0.7741978670297255,0.7365412979351033
South_Asia_r02_c02_+25568+6358,Pandhurna,India,South_Asia,0.6960344596406544,0.6731138821846786,0.7350093858943416,0.707059533386967,0.7271755162241887,0.7350093858943416,0.6856379056047198
South_Asia_r02_c02_+25570+6727,Deglur,India,South_Asia,0.7445557644397574,0.712432685792308,0.7743492747642411,0.7647622541152737,0.7914454277286136,0.7743492747642411,0.7361356932153392
South_Asia_r02_c02_+25571+6809,Bidar,India,South_Asia,0.7456219779217225,0.7125452361402549,0.7751573761518109,0.7660865796916341,0.7932522123893805,0.7751573761518109,0.7375553097345133
South_Asia_r02_c02_+25571+7080,Siruguppa,India,South_Asia,0.7444781030179262,0.7111905302170789,0.7741978670297255,0.7647583390061268,0.7919616519174041,0.7741978670297255,0.7365412979351033
South_Asia_r02_c02_+25572+6946,Yadgir,India,South_Asia,0.7915929203539823,0.7610619469026547,0.8132743362831859,0.8199115044247789,0.8482300884955751,0.8132743362831859,0.7807522123893805
South_Asia_r02_c02_+25576+6285,Parasia,India,South_Asia,0.6970606826801518,0.678992836072482,0.7362199747155499,0.7079013906447535,0.7258849557522123,0.7362199747155499,0.6846238938053099
South_Asia_r02_c02_+25578+6464,Pulgaon,India,South_Asia,0.6972884048105287,0.6802435519249679,0.7364845700022691,0.7080922396187883,0.725626843657817,0.7364845700022691,0.6844210914454277
South_Asia_r02_c02_+25580+6893,Sedam,India,South_Asia,0.7537523532114853,0.7150643828780086,0.7814440936244645,0.7760606127985059,0.8061578171091446,0.7814440936244645,0.7476954277286136
South_Asia_r02_c02_+25581+7145,Ballari,India,South_Asia,0.7740781710914455,0.7493854473942969,0.7992625368731564,0.7988938053097346,0.8237094395280236,0.7992625368731564,0.7614859882005901
South_Asia_r02_c02_+25584+6657,Bhaisa,India,South_Asia,0.6972884048105287,0.6802435519249679,0.7364845700022691,0.7080922396187883,0.725626843657817,0.7364845700022691,0.6844210914454277
South_Asia_r02_c02_+25584+6874,Kiadgira,India,South_Asia,0.7447394296951819,0.7150114716486398,0.7746804326450343,0.7647984267453296,0.7904129793510324,0.7746804326450345,0.7353244837758113
South_Asia_r02_c02_+25585+6395,Katol,India,South_Asia,0.6972884048105287,0.6802435519249679,0.7364845700022691,0.7080922396187883,0.725626843657817,0.7364845700022691,0.6844210914454277
South_Asia_r02_c02_+25589+6869,Kiadgira,India,South_Asia,0.7445980825958702,0.7130653883972468,0.7744284660766962,0.7647676991150443,0.7911873156342182,0.7744284660766962,0.7359328908554573
South_Asia_r02_c02_+25590+6307,Chhindwara,India,South_Asia,0.6972884048105287,0.6802435519249679,0.7364845700022691,0.7080922396187883,0.725626843657817,0.7364845700022691,0.6844210914454277
South_Asia_r02_c02_+25592+6710,Bodhan,India,South_Asia,0.704280122532335,0.6720841842523257,0.7411164057181756,0.7174438393464942,0.742146017699115,0.7411164057181756,0.6974004424778762
South_Asia_r02_c02_+25592+7195,Rayadrug,India,South_Asia,0.8103379739549608,0.7434077991222389,0.8313187999136629,0.8181182099431614,0.8531342182890855,0.8313187999136629,0.8270833333333334
South_Asia_r02_c02_+25597+6600,Gokunda,India,South_Asia,0.727617994100295,0.7184119960668632,0.762094395280236,0.7431415929203541,0.7586651917404129,0.762094395280236,0.7103797935103245
